27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2100000; 
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 15:27:29.8940000; 06.05.2020 15:28:52.5900000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 15:27:46.2170000; 06.05.2020 15:28:40.3080000
; ----- Start Alarmerfassung -----; ; 07.05.2020 06:02:13.9880000; 07.05.2020 06:02:13.9880000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.1880000; 07.05.2020 06:02:54.3920000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.1880000; 07.05.2020 06:02:54.3920000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.1960000; 07.05.2020 06:02:54.4000000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.1960000; 07.05.2020 06:02:54.4000000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.1980000; 07.05.2020 06:02:54.4020000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.1980000; 07.05.2020 06:02:54.4020000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.1840000; 07.05.2020 06:02:55.2460000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.1840000; 07.05.2020 06:02:55.2620000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.1850000; 07.05.2020 06:02:55.3780000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.1850000; 07.05.2020 06:02:55.3940000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.1850000; 07.05.2020 06:02:55.4100000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.1850000; 07.05.2020 06:02:55.4260000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.5620000; 07.05.2020 06:02:54.7660000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.5620000; 07.05.2020 06:02:54.7660000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.5640000; 07.05.2020 06:02:54.7680000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.5640000; 07.05.2020 06:02:54.7680000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.5660000; 07.05.2020 06:02:54.7700000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 07.05.2020 06:02:54.5660000; 07.05.2020 06:02:54.7700000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.5560000; 07.05.2020 06:02:55.6980000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.5560000; 07.05.2020 06:02:55.7140000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.5560000; 07.05.2020 06:02:55.7300000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.5560000; 07.05.2020 06:02:55.7460000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 07.05.2020 06:02:54.5560000; 07.05.2020 06:02:55.7620000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 07:57:39.4960000; 07.05.2020 07:57:42.9190000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 08:00:34.9850000; 07.05.2020 08:00:37.1170000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 08:03:35.5680000; 07.05.2020 08:03:38.8400000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 08:06:58.3100000; 07.05.2020 08:07:00.5770000
62303; Kanal 1: Satz N1153: Vertrauensbereich überschritten ; sinumerik_alarm_nck; 07.05.2020 09:43:11.6640000; 07.05.2020 09:45:51.7600000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 07.05.2020 09:47:20.9170000; 07.05.2020 09:47:54.8110000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 07.05.2020 09:47:32.1540000; 07.05.2020 09:47:38.6330000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 09:54:44.4090000; 07.05.2020 09:54:47.1890000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 09:56:23.2910000; 07.05.2020 09:56:25.5890000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 09:58:02.1910000; 07.05.2020 09:58:05.4980000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 10:50:56.9520000; 07.05.2020 10:50:58.1020000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 11:10:46.5120000; 07.05.2020 11:10:49.8130000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 11:12:24.7790000; 07.05.2020 11:12:28.0810000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 11:14:05.4070000; 07.05.2020 11:14:08.6990000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 11:14:57.6050000; 07.05.2020 11:15:01.1140000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 13:17:39.1010000; 07.05.2020 13:17:40.2730000
6410; Werkzeug T='302200'#1 hat Vorwarngrenze erreicht mit D= 1; sinumerik_alarm_nck; 07.05.2020 13:21:06.0310000; 07.05.2020 13:21:14.1970000
910001; Werkzeuglängenprüfeinheit 1: Werkzeugbruch Werkzeug : 302060 Duplonr.: 1 (Bruchstücke komplett aus der Spänerinne entfernen); ; 07.05.2020 13:28:03.2390000; 07.05.2020 13:31:28.7120000
15350; Kanal 1: Satz 80795 Suchziel nicht gefunden; sinumerik_alarm_nck; 07.05.2020 14:01:09.5490000; 07.05.2020 14:01:13.8790000
15350; Kanal 1: Satz 80795 Suchziel nicht gefunden; sinumerik_alarm_nck; 07.05.2020 14:01:25.1660000; 07.05.2020 14:01:30.0860000
15350; Kanal 1: Satz 80795 Suchziel nicht gefunden; sinumerik_alarm_nck; 07.05.2020 14:01:40.9050000; 07.05.2020 14:01:44.3270000
15350; Kanal 1: Satz 80795 Suchziel nicht gefunden; sinumerik_alarm_nck; 07.05.2020 14:02:22.5520000; 07.05.2020 14:02:27.3220000
15350; Kanal 1: Satz 80795 Suchziel nicht gefunden; sinumerik_alarm_nck; 07.05.2020 14:02:40.7660000; 07.05.2020 14:02:42.2640000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 07.05.2020 14:04:20.0550000; 07.05.2020 14:04:57.3220000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 07.05.2020 14:04:27.8730000; 07.05.2020 14:04:34.2870000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 14:21:00.3670000; 07.05.2020 14:21:03.1040000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 14:22:38.0800000; 07.05.2020 14:22:41.1780000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 14:24:17.9060000; 07.05.2020 14:24:21.2510000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 07.05.2020 14:25:10.2110000; 07.05.2020 14:25:13.6940000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 07.05.2020 14:58:23.6540000; 07.05.2020 14:58:24.4430000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 07.05.2020 14:58:23.7580000; 07.05.2020 14:58:24.4430000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 07.05.2020 14:58:23.9340000; 07.05.2020 14:58:24.4430000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 07.05.2020 14:58:24.1420000; 07.05.2020 14:58:24.4430000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 07.05.2020 14:58:24.3500000; 07.05.2020 14:58:24.4430000
16927; Kanal 2: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 07.05.2020 14:58:24.5620000; 07.05.2020 14:58:26.7920000
; ----- Start Alarmerfassung -----; ; 08.05.2020 06:02:12.6870000; 08.05.2020 06:02:12.6870000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 08.05.2020 06:02:00.0090000; 08.05.2020 06:02:19.8930000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.3030000; 08.05.2020 06:02:52.5070000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.3030000; 08.05.2020 06:02:52.5070000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.3110000; 08.05.2020 06:02:52.5150000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.3110000; 08.05.2020 06:02:52.5150000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.3130000; 08.05.2020 06:02:52.5170000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.3130000; 08.05.2020 06:02:52.5170000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.2990000; 08.05.2020 06:02:53.3600000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.2990000; 08.05.2020 06:02:53.3760000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.2980000; 08.05.2020 06:02:53.4690000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.2980000; 08.05.2020 06:02:53.4840000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.2980000; 08.05.2020 06:02:53.5010000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.2980000; 08.05.2020 06:02:53.5800000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.6770000; 08.05.2020 06:02:52.8810000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.6770000; 08.05.2020 06:02:52.8810000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.6790000; 08.05.2020 06:02:52.8830000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.6790000; 08.05.2020 06:02:52.8830000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.6810000; 08.05.2020 06:02:52.8850000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:02:52.6810000; 08.05.2020 06:02:52.8850000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.6700000; 08.05.2020 06:02:53.8100000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.6700000; 08.05.2020 06:02:53.8520000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.6700000; 08.05.2020 06:02:53.8700000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.6700000; 08.05.2020 06:02:53.8840000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:02:52.6700000; 08.05.2020 06:02:53.9330000
701048; A-Achse: Klemmung entblockt Druck (=1505FC2-BP1:2) fehlt; sinumerik_alarm_plc_pmc; 08.05.2020 06:16:31.6720000; 
; ----- Start Alarmerfassung -----; ; 08.05.2020 06:22:52.3890000; 08.05.2020 06:22:52.3890000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.1220000; 08.05.2020 06:26:02.3260000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.1220000; 08.05.2020 06:26:02.3260000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.1300000; 08.05.2020 06:26:02.3340000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.1300000; 08.05.2020 06:26:02.3340000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.1320000; 08.05.2020 06:26:02.3360000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.1320000; 08.05.2020 06:26:02.3360000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.1190000; 08.05.2020 06:26:03.1750000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.1190000; 08.05.2020 06:26:03.1920000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.1200000; 08.05.2020 06:26:03.2710000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.1200000; 08.05.2020 06:26:03.2870000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.1200000; 08.05.2020 06:26:03.3030000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.1200000; 08.05.2020 06:26:03.3200000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.5080000; 08.05.2020 06:26:02.7120000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.5080000; 08.05.2020 06:26:02.7120000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.5100000; 08.05.2020 06:26:02.7140000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.5100000; 08.05.2020 06:26:02.7140000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.5120000; 08.05.2020 06:26:02.7160000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 08.05.2020 06:26:02.5120000; 08.05.2020 06:26:02.7160000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.5030000; 08.05.2020 06:26:03.6470000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.5030000; 08.05.2020 06:26:03.6670000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.5030000; 08.05.2020 06:26:03.6830000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.5030000; 08.05.2020 06:26:03.6990000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 08.05.2020 06:26:02.5030000; 08.05.2020 06:26:03.7150000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 08.05.2020 07:12:25.5900000; 08.05.2020 07:12:29.1180000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 08.05.2020 07:14:03.9500000; 08.05.2020 07:14:06.7030000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 08.05.2020 07:15:44.0370000; 08.05.2020 07:15:47.6500000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 08.05.2020 07:16:36.4660000; 08.05.2020 07:16:40.1670000
910001; Werkzeuglängenprüfeinheit 1: Werkzeugbruch Werkzeug : 302060 Duplonr.: 1 (Bruchstücke komplett aus der Spänerinne entfernen); ; 08.05.2020 08:19:39.5080000; 08.05.2020 08:20:01.6080000
27254; PROFIsafe: F-Modul 1014, Fehler auf Kanal IN 3; SI - KDV INSEP[36] - INSEP36; Schutztür Werkzeugwechsel Wartung; sinumerik_alarm_nck; 08.05.2020 10:18:14.4100000; 08.05.2020 10:47:44.2410000
27021; Achse X_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse Y_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse Z_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse B_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse A_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse SP1 Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse Q_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse EL1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse ES1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse E_1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse ZM1_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
27021; Achse Y_2_ Stop D ausgelöst; sinumerik_alarm_nck; 08.05.2020 10:18:14.4140000; 08.05.2020 10:18:14.4160000
700905; Profibus DPM1: mindestens ein Device im Strang ausgefallen (siehe Alarmprotokoll); sinumerik_alarm_plc_pmc; 08.05.2020 10:18:14.6200000; 08.05.2020 10:47:33.4320000
909011; DP-Mastersystem(1) Adresse:6 Sammelstörung; ; 08.05.2020 10:18:15.7200000; 08.05.2020 10:18:18.9590000
909011; DP-Mastersystem(1) Adresse:6 Sammelstörung; ; 08.05.2020 10:45:47.8710000; 08.05.2020 10:46:04.1420000
909011; DP-Mastersystem(1) Adresse:6 Sammelstörung; ; 08.05.2020 10:46:19.2510000; 08.05.2020 10:47:09.6360000
; ----- Start Alarmerfassung -----; ; 11.05.2020 06:02:16.9990000; 11.05.2020 06:02:16.9990000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:56.9780000; 11.05.2020 06:02:57.1820000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:56.9780000; 11.05.2020 06:02:57.1820000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:56.9860000; 11.05.2020 06:02:57.1900000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:56.9860000; 11.05.2020 06:02:57.1900000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:56.9880000; 11.05.2020 06:02:57.1920000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:56.9880000; 11.05.2020 06:02:57.1920000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:56.9740000; 11.05.2020 06:02:58.0350000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:56.9740000; 11.05.2020 06:02:58.0510000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:56.9740000; 11.05.2020 06:02:58.1590000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:56.9740000; 11.05.2020 06:02:58.1750000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:56.9740000; 11.05.2020 06:02:58.1910000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:56.9740000; 11.05.2020 06:02:58.2230000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:57.3520000; 11.05.2020 06:02:57.5560000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:57.3520000; 11.05.2020 06:02:57.5560000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:57.3540000; 11.05.2020 06:02:57.5580000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:57.3540000; 11.05.2020 06:02:57.5580000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:57.3560000; 11.05.2020 06:02:57.5600000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:02:57.3560000; 11.05.2020 06:02:57.5600000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:57.3460000; 11.05.2020 06:02:58.4880000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:57.3460000; 11.05.2020 06:02:58.5110000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:57.3460000; 11.05.2020 06:02:58.5280000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:57.3460000; 11.05.2020 06:02:58.5480000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 11.05.2020 06:02:57.3460000; 11.05.2020 06:02:58.5680000
701048; A-Achse: Klemmung entblockt Druck (=1505FC2-BP1:2) fehlt; sinumerik_alarm_plc_pmc; 11.05.2020 06:08:48.8000000; 
; ----- Start Alarmerfassung -----; ; 11.05.2020 06:21:09.6800000; 11.05.2020 06:21:09.6800000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 11.05.2020 06:21:56.3670000; 11.05.2020 06:21:56.5710000
